82465 00001 ม้านิลมังกรsamsung 2000000 100567 190567  เทคโนโลยี  55 0 0 0
22221 00001 ไฟฉายย่อส่วน 12 100567 150567 เทคโนโลยี 20 0 0 1
75274 00001 สายสินญ์ทองคำเคลือบช็อคโกแลต 3500 100567 180567 เครื่องแต่งกาย 30 0 0 2 
11111 00001 เสื้อลายพ่อปู่โดเรม่อน 105000 100567 140567 เครื่องแต่งกาย 50 0 0 3
56849 00001 แจกัน 349 100567 140567 อุปโภค 10 0 0 4
A 1 1 1 1 1 1 1 1 1 3
B 2 2 2 2 2 2 2 2 2 3
C 3 3 3 3 3 3 3 3 3 3
D 4 4 4 4 4 4 4 4 4 3
E 5 5 5 5 5 5 5 5 5 3

56849 00001 แจกัน 349 100567 140567 อุปโภค 10 0 0 4
12345 00002 ตาชั่ง 199 50000 100000 เครื่องใช้ไฟฟ้า 20 0 1 2
67890 00003 เสื้อยืด 299 80000 90000 เสื้อผ้า 30 0 1 3
24680 00004 รองเท้า 499 30000 40000 เสื้อผ้า 40 0 0 5
13579 00005 กระเป๋า 599 60000, 70000 เครื่องใช้ในบ้าน 50 0 1 6
11111 00006 เสื้อกันหนาว 799 20000 30000 เสื้อผ้า 60 0 0 7
22222 00007 กางเกงยีนส์ 899 70000 80000 เสื้อผ้า 70 0 1 8
33333 00008 หมวก 299 10000 15000 เครื่องใช้ในบ้าน 80 0 0 9
56849 00002 แจกัน2 349 100567 140567 อุปโภค 10 0 0 4
